dataset,metric,direction,seeds,baseline_mean,baseline_std,ours_mean,ours_std,improvement_delta,paired_t_statistic,paired_t_p,wilcoxon_p,paired_t_p_holm,significant_holm_0_05
MOSI,MAE,lower,"5576,42,2026,2027,3407",0.7645069072108688,0.024470588470765015,0.7556485523737587,0.019773046024964845,0.008858354837110238,-1.7729674570581222,0.15091643439999292,0.1875,1.0,False
MOSI,Corr,higher,"5576,42,2026,2027,3407",0.762634127702096,0.014169909241236272,0.7681176642021563,0.009629383640912401,0.005483536500060194,1.4604162596498411,0.21796224141543472,0.3125,1.0,False
MOSI,Acc-2,higher,"5576,42,2026,2027,3407",0.8186861313868613,0.01104097541675271,0.8163503649635035,0.01214402005435645,-0.0023357664233576657,-0.46656947481584343,0.6650857312891503,0.8125,1.0,False
MOSI,F1,higher,"5576,42,2026,2027,3407",0.8179611324263429,0.01090576995541883,0.8160478031907253,0.012093896688495028,-0.0019133292356176667,-0.37925665927322316,0.7237711569747118,0.8125,1.0,False
MOSI,Acc-2 (nz),higher,"5576,42,2026,2027,3407",0.8384732824427482,0.01358692852597681,0.8354198473282443,0.009374095531608395,-0.0030534351145038,-0.7302967433402159,0.505680548706889,0.4375,1.0,False
MOSI,F1 (nz),higher,"5576,42,2026,2027,3407",0.8384019370848174,0.013490167872628597,0.8357203251627234,0.0092053771593835,-0.0026816119220939073,-0.6446349245851679,0.5542717296011922,0.4375,1.0,False
MOSI,ACC-7,higher,"5576,42,2026,2027,3407",0.45226277372262774,0.01890496857597626,0.4548905109489051,0.015086727804687668,0.0026277372262773603,0.33006693702736584,0.7579122481026295,0.8125,1.0,False
MOSEI,MAE,lower,"5576,42,2026,2027,3407",0.5442014272789941,0.0076414071198382975,0.5470153833386874,0.006843851471266653,-0.002813956059693301,0.6160465942723131,0.5711925468929943,0.4375,1.0,False
MOSEI,Corr,higher,"5576,42,2026,2027,3407",0.7510387017385662,0.006980785273157018,0.7518879843377333,0.0029281473147234026,0.0008492825991671005,0.3325375093163122,0.756180569706455,1.0,1.0,False
MOSEI,Acc-2,higher,"5576,42,2026,2027,3407",0.8206332112858068,0.009999895859120917,0.8234331251346113,0.015049821087176353,0.002799913848804669,0.2995677996881948,0.7794280637909333,1.0,1.0,False
MOSEI,F1,higher,"5576,42,2026,2027,3407",0.8247835000129469,0.008838650616867472,0.8271643380521907,0.012817737567101247,0.0023808380392438266,0.2970056624316454,0.7812468321028525,1.0,1.0,False
MOSEI,Acc-2 (nz),higher,"5576,42,2026,2027,3407",0.853646408839779,0.003276713558499162,0.8509944751381215,0.0023811449656917297,-0.002651933701657483,-1.0844861734189701,0.3391424684450423,0.4375,1.0,False
MOSEI,F1 (nz),higher,"5576,42,2026,2027,3407",0.8530716319657206,0.0028601309231413735,0.8503523247162326,0.0015073255774822594,-0.00271930724948799,-1.437902053564992,0.22384177410243516,0.3125,1.0,False
MOSEI,ACC-7,higher,"5576,42,2026,2027,3407",0.5320267068705579,0.00899238567178836,0.5296575489984924,0.010689346478600013,-0.002369157872065464,-0.2882684309405096,0.7874617349697267,0.8125,1.0,False
