Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/command.sh
total parameter for the model:  111841464
epoch:0, train_loss:0.6780, valid_loss:0.6571, test_acc:0.6670
current acc2:0.6670, f_weighted:0.6670, f_average:0.6670
Saved best model at epoch 0 by acc2=0.6670 -> /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/best_model.pt
epoch:1, train_loss:0.6220, valid_loss:0.6093, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7107, f_average:0.7072
Saved best model at epoch 1 by acc2=0.7072 -> /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/best_model.pt
epoch:2, train_loss:0.5499, valid_loss:0.5831, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7234, f_average:0.7233
Saved best model at epoch 2 by acc2=0.7233 -> /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/best_model.pt
epoch:3, train_loss:0.4744, valid_loss:0.6074, test_acc:0.7324
current acc2:0.7324, f_weighted:0.7328, f_average:0.7324
Saved best model at epoch 3 by acc2=0.7324 -> /data01/lyw/GLoMo/experiments/urfunny_baseline_seed5576/best_model.pt
epoch:4, train_loss:0.4152, valid_loss:0.6100, test_acc:0.7274
current acc2:0.7274, f_weighted:0.7274, f_average:0.7274
epoch:5, train_loss:0.3594, valid_loss:0.6383, test_acc:0.7324
current acc2:0.7324, f_weighted:0.7324, f_average:0.7324
epoch:6, train_loss:0.3076, valid_loss:0.6817, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7184, f_average:0.7183
epoch:7, train_loss:0.2643, valid_loss:0.7209, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7224, f_average:0.7223
epoch:8, train_loss:0.2191, valid_loss:0.7662, test_acc:0.7254
current acc2:0.7254, f_weighted:0.7254, f_average:0.7254
epoch:9, train_loss:0.1884, valid_loss:0.8329, test_acc:0.7264
current acc2:0.7264, f_weighted:0.7269, f_average:0.7264
epoch:10, train_loss:0.1646, valid_loss:0.8455, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7183, f_average:0.7183
epoch:11, train_loss:0.1397, valid_loss:0.9057, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7154, f_average:0.7153
epoch:12, train_loss:0.1220, valid_loss:0.9438, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7243, f_average:0.7243
epoch:13, train_loss:0.1152, valid_loss:0.9935, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7180, f_average:0.7133
epoch:14, train_loss:0.0977, valid_loss:0.9942, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7194, f_average:0.7193
epoch:15, train_loss:0.0888, valid_loss:1.0655, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7172, f_average:0.7163
epoch:16, train_loss:0.0760, valid_loss:1.1033, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7037, f_average:0.7032
epoch:17, train_loss:0.0786, valid_loss:1.0673, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7250, f_average:0.7243
epoch:18, train_loss:0.0673, valid_loss:1.1308, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7183, f_average:0.7173
epoch:19, train_loss:0.0583, valid_loss:1.1402, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7235, f_average:0.7233
epoch:20, train_loss:0.0499, valid_loss:1.1802, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7203, f_average:0.7203
epoch:21, train_loss:0.0480, valid_loss:1.1973, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7143, f_average:0.7143
epoch:22, train_loss:0.0479, valid_loss:1.2124, test_acc:0.7294
current acc2:0.7294, f_weighted:0.7299, f_average:0.7294
epoch:23, train_loss:0.0415, valid_loss:1.2248, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7215, f_average:0.7213
epoch:24, train_loss:0.0359, valid_loss:1.2988, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7194, f_average:0.7193
epoch:25, train_loss:0.0331, valid_loss:1.3378, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7232, f_average:0.7223
epoch:26, train_loss:0.0306, valid_loss:1.3548, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7216, f_average:0.7213
epoch:27, train_loss:0.0263, valid_loss:1.4091, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7122, f_average:0.7113
epoch:28, train_loss:0.0295, valid_loss:1.3893, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7226, f_average:0.7213
epoch:29, train_loss:0.0247, valid_loss:1.4370, test_acc:0.7264
current acc2:0.7264, f_weighted:0.7266, f_average:0.7264
epoch:30, train_loss:0.0206, valid_loss:1.5719, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7147, f_average:0.7133
epoch:31, train_loss:0.0224, valid_loss:1.5336, test_acc:0.6952
current acc2:0.6952, f_weighted:0.6984, f_average:0.6952
epoch:32, train_loss:0.0153, valid_loss:1.6081, test_acc:0.6942
current acc2:0.6942, f_weighted:0.6970, f_average:0.6942
epoch:33, train_loss:0.0194, valid_loss:1.5505, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7189, f_average:0.7183
epoch:34, train_loss:0.0143, valid_loss:1.6032, test_acc:0.6932
current acc2:0.6932, f_weighted:0.6941, f_average:0.6932
epoch:35, train_loss:0.0126, valid_loss:1.6498, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7127, f_average:0.7123
epoch:36, train_loss:0.0126, valid_loss:1.6694, test_acc:0.7294
current acc2:0.7294, f_weighted:0.7294, f_average:0.7294
epoch:37, train_loss:0.0107, valid_loss:1.5373, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7143, f_average:0.7143
epoch:38, train_loss:0.0075, valid_loss:1.7409, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7111, f_average:0.7103
epoch:39, train_loss:0.0066, valid_loss:1.8656, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7183, f_average:0.7183
epoch:40, train_loss:0.0064, valid_loss:1.9345, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7167, f_average:0.7153
epoch:41, train_loss:0.0090, valid_loss:1.8061, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7190, f_average:0.7183
epoch:42, train_loss:0.0029, valid_loss:2.2097, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7064, f_average:0.7052
epoch:43, train_loss:0.0114, valid_loss:1.8431, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7117, f_average:0.7113
epoch:44, train_loss:0.0042, valid_loss:2.0311, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7146, f_average:0.7143
epoch:45, train_loss:0.0053, valid_loss:2.1715, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7154, f_average:0.7153
epoch:46, train_loss:0.0074, valid_loss:2.1257, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7174, f_average:0.7173
epoch:47, train_loss:0.0109, valid_loss:1.9836, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7196, f_average:0.7183
epoch:48, train_loss:0.0054, valid_loss:2.1468, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7228, f_average:0.7203
epoch:49, train_loss:0.0037, valid_loss:2.0304, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7120, f_average:0.7113
epoch:50, train_loss:0.0065, valid_loss:2.2481, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7033, f_average:0.7022
epoch:51, train_loss:0.0063, valid_loss:2.0780, test_acc:0.7274
current acc2:0.7274, f_weighted:0.7276, f_average:0.7274
epoch:52, train_loss:0.0020, valid_loss:2.3279, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7162, f_average:0.7143
epoch:53, train_loss:0.0057, valid_loss:2.2462, test_acc:0.6972
current acc2:0.6972, f_weighted:0.6978, f_average:0.6972
epoch:54, train_loss:0.0086, valid_loss:1.9651, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7053, f_average:0.7052
epoch:55, train_loss:0.0032, valid_loss:2.0876, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7095, f_average:0.7093
epoch:56, train_loss:0.0049, valid_loss:2.1134, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7123, f_average:0.7123
epoch:57, train_loss:0.0029, valid_loss:2.1110, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7042, f_average:0.7042
epoch:58, train_loss:0.0038, valid_loss:2.2600, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7186, f_average:0.7173
epoch:59, train_loss:0.0021, valid_loss:2.2246, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7219, f_average:0.7213
epoch:60, train_loss:0.0112, valid_loss:2.4210, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7157, f_average:0.7082
