Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/command.sh
total parameter for the model:  113169528
epoch:0, train_loss:0.6785, valid_loss:0.6618, test_acc:0.6579
current acc2:0.6579, f_weighted:0.6580, f_average:0.6579
Saved best model at epoch 0 by acc2=0.6579 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:1, train_loss:0.6286, valid_loss:0.6140, test_acc:0.6942
current acc2:0.6942, f_weighted:0.6972, f_average:0.6942
Saved best model at epoch 1 by acc2=0.6942 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:2, train_loss:0.5570, valid_loss:0.5948, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7127, f_average:0.7123
Saved best model at epoch 2 by acc2=0.7123 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:3, train_loss:0.4912, valid_loss:0.6397, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7149, f_average:0.7143
Saved best model at epoch 3 by acc2=0.7143 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:4, train_loss:0.4391, valid_loss:0.6219, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7088, f_average:0.7072
epoch:5, train_loss:0.3921, valid_loss:0.6674, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7163, f_average:0.7163
Saved best model at epoch 5 by acc2=0.7163 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:6, train_loss:0.3376, valid_loss:0.6964, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7124, f_average:0.7123
epoch:7, train_loss:0.3073, valid_loss:0.7331, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7115, f_average:0.7113
epoch:8, train_loss:0.2608, valid_loss:0.7615, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7156, f_average:0.7153
epoch:9, train_loss:0.2369, valid_loss:0.8081, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7164, f_average:0.7163
epoch:10, train_loss:0.2040, valid_loss:0.8377, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7153, f_average:0.7153
epoch:11, train_loss:0.1761, valid_loss:0.8581, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7243, f_average:0.7243
Saved best model at epoch 11 by acc2=0.7243 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:12, train_loss:0.1543, valid_loss:0.8964, test_acc:0.7264
current acc2:0.7264, f_weighted:0.7264, f_average:0.7264
Saved best model at epoch 12 by acc2=0.7264 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:13, train_loss:0.1293, valid_loss:1.0242, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7254, f_average:0.7243
epoch:14, train_loss:0.1164, valid_loss:0.9926, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7190, f_average:0.7183
epoch:15, train_loss:0.1026, valid_loss:1.0176, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7163, f_average:0.7163
epoch:16, train_loss:0.0896, valid_loss:1.0703, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7224, f_average:0.7223
epoch:17, train_loss:0.1032, valid_loss:1.0516, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7092, f_average:0.7093
epoch:18, train_loss:0.0748, valid_loss:1.1016, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7106, f_average:0.7103
epoch:19, train_loss:0.0648, valid_loss:1.1811, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7135, f_average:0.7133
epoch:20, train_loss:0.0571, valid_loss:1.1981, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7203, f_average:0.7203
epoch:21, train_loss:0.0578, valid_loss:1.2163, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7117, f_average:0.7113
epoch:22, train_loss:0.0534, valid_loss:1.2293, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7147, f_average:0.7143
epoch:23, train_loss:0.0487, valid_loss:1.3776, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7219, f_average:0.7193
epoch:24, train_loss:0.0391, valid_loss:1.3252, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7177, f_average:0.7173
epoch:25, train_loss:0.0351, valid_loss:1.3968, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7065, f_average:0.7052
epoch:26, train_loss:0.0356, valid_loss:1.3810, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7219, f_average:0.7193
epoch:27, train_loss:0.0372, valid_loss:1.3430, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7186, f_average:0.7183
epoch:28, train_loss:0.0317, valid_loss:1.3494, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7135, f_average:0.7133
epoch:29, train_loss:0.0292, valid_loss:1.4547, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7188, f_average:0.7183
epoch:30, train_loss:0.0280, valid_loss:1.5087, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7126, f_average:0.7103
epoch:31, train_loss:0.0258, valid_loss:1.5140, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7135, f_average:0.7133
epoch:32, train_loss:0.0241, valid_loss:1.5419, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7134, f_average:0.7133
epoch:33, train_loss:0.0231, valid_loss:1.5075, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7143, f_average:0.7143
epoch:34, train_loss:0.0200, valid_loss:1.5502, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7134, f_average:0.7133
epoch:35, train_loss:0.0185, valid_loss:1.6152, test_acc:0.7254
current acc2:0.7254, f_weighted:0.7256, f_average:0.7254
epoch:36, train_loss:0.0170, valid_loss:1.5368, test_acc:0.6942
current acc2:0.6942, f_weighted:0.6954, f_average:0.6942
epoch:37, train_loss:0.0177, valid_loss:1.4809, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7105, f_average:0.7103
epoch:38, train_loss:0.0153, valid_loss:1.4763, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7223, f_average:0.7223
epoch:39, train_loss:0.0142, valid_loss:1.6510, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7244, f_average:0.7233
epoch:40, train_loss:0.0096, valid_loss:1.7595, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7244, f_average:0.7243
epoch:41, train_loss:0.0136, valid_loss:1.6733, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7163, f_average:0.7163
epoch:42, train_loss:0.0123, valid_loss:1.6897, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7183, f_average:0.7183
epoch:43, train_loss:0.0087, valid_loss:1.7919, test_acc:0.7254
current acc2:0.7254, f_weighted:0.7263, f_average:0.7254
epoch:44, train_loss:0.0085, valid_loss:1.8896, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7133, f_average:0.7133
epoch:45, train_loss:0.0046, valid_loss:2.1342, test_acc:0.6992
current acc2:0.6992, f_weighted:0.7028, f_average:0.6992
epoch:46, train_loss:0.0047, valid_loss:1.9484, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7127, f_average:0.7123
epoch:47, train_loss:0.0058, valid_loss:1.9236, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7174, f_average:0.7173
epoch:48, train_loss:0.0062, valid_loss:1.8758, test_acc:0.7274
current acc2:0.7274, f_weighted:0.7274, f_average:0.7274
Saved best model at epoch 48 by acc2=0.7274 -> /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/best_model.pt
epoch:49, train_loss:0.0027, valid_loss:2.2208, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7187, f_average:0.7143
epoch:50, train_loss:0.0053, valid_loss:2.0950, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7200, f_average:0.7193
epoch:51, train_loss:0.0076, valid_loss:2.0400, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7136, f_average:0.7113
epoch:52, train_loss:0.0039, valid_loss:1.8288, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7214, f_average:0.7213
epoch:53, train_loss:0.0053, valid_loss:2.0439, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7208, f_average:0.7203
epoch:54, train_loss:0.0054, valid_loss:2.0102, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7184, f_average:0.7183
epoch:55, train_loss:0.0072, valid_loss:2.0215, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7124, f_average:0.7113
epoch:56, train_loss:0.0034, valid_loss:2.2218, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
epoch:57, train_loss:0.0105, valid_loss:2.4607, test_acc:0.7012
current acc2:0.7012, f_weighted:0.7056, f_average:0.7012
epoch:58, train_loss:0.0093, valid_loss:2.0440, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7126, f_average:0.7123
epoch:59, train_loss:0.0108, valid_loss:2.2190, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7099, f_average:0.7082
epoch:60, train_loss:0.0046, valid_loss:2.1565, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7102, f_average:0.7103
epoch:61, train_loss:0.0029, valid_loss:2.2833, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7222, f_average:0.7203
epoch:62, train_loss:0.0079, valid_loss:2.3358, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7096, f_average:0.7082
epoch:63, train_loss:0.0046, valid_loss:2.3303, test_acc:0.7274
current acc2:0.7274, f_weighted:0.7276, f_average:0.7274
epoch:64, train_loss:0.0085, valid_loss:2.2254, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7193, f_average:0.7193
epoch:65, train_loss:0.0055, valid_loss:2.1085, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7244, f_average:0.7243
epoch:66, train_loss:0.0046, valid_loss:2.1127, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7176, f_average:0.7173
epoch:67, train_loss:0.0080, valid_loss:1.9067, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7056, f_average:0.7022
epoch:68, train_loss:0.0017, valid_loss:2.2318, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7095, f_average:0.7082
epoch:69, train_loss:0.0053, valid_loss:2.0559, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7150, f_average:0.7143
epoch:70, train_loss:0.0039, valid_loss:2.1272, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7144, f_average:0.7143
epoch:71, train_loss:0.0044, valid_loss:2.1096, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7103, f_average:0.7093
epoch:72, train_loss:0.0045, valid_loss:1.9722, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7087, f_average:0.7082
epoch:73, train_loss:0.0046, valid_loss:2.2194, test_acc:0.6952
current acc2:0.6952, f_weighted:0.6958, f_average:0.6952
epoch:74, train_loss:0.0044, valid_loss:2.0894, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
epoch:75, train_loss:0.0025, valid_loss:2.3275, test_acc:0.6952
current acc2:0.6952, f_weighted:0.6952, f_average:0.6952
epoch:76, train_loss:0.0045, valid_loss:2.6250, test_acc:0.6871
current acc2:0.6871, f_weighted:0.6938, f_average:0.6871
epoch:77, train_loss:0.0050, valid_loss:2.2619, test_acc:0.7012
current acc2:0.7012, f_weighted:0.7020, f_average:0.7012
epoch:78, train_loss:0.0054, valid_loss:2.2379, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7164, f_average:0.7163
epoch:79, train_loss:0.0053, valid_loss:2.1097, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7144, f_average:0.7113
epoch:80, train_loss:0.0028, valid_loss:2.2102, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7056, f_average:0.7052
epoch:81, train_loss:0.0004, valid_loss:2.2680, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7133, f_average:0.7133
epoch:82, train_loss:0.0012, valid_loss:2.3127, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7087, f_average:0.7082
epoch:83, train_loss:0.0002, valid_loss:2.3937, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7062, f_average:0.7062
epoch:84, train_loss:0.0002, valid_loss:2.4348, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7096, f_average:0.7093
epoch:85, train_loss:0.0002, valid_loss:2.5050, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7133, f_average:0.7133
epoch:86, train_loss:0.0003, valid_loss:2.5337, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7114, f_average:0.7113
epoch:87, train_loss:0.0002, valid_loss:2.6507, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7074, f_average:0.7072
epoch:88, train_loss:0.0002, valid_loss:2.7406, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7119, f_average:0.7113
epoch:89, train_loss:0.0003, valid_loss:2.6960, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7074, f_average:0.7072
epoch:90, train_loss:0.0002, valid_loss:2.7674, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7084, f_average:0.7082
epoch:91, train_loss:0.0001, valid_loss:2.8479, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:92, train_loss:0.0005, valid_loss:2.9115, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7068, f_average:0.7062
epoch:93, train_loss:0.0010, valid_loss:2.8115, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7022, f_average:0.7022
epoch:94, train_loss:0.0002, valid_loss:2.8932, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7083, f_average:0.7082
epoch:95, train_loss:0.0011, valid_loss:2.9070, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:96, train_loss:0.0002, valid_loss:2.8985, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7052, f_average:0.7052
epoch:97, train_loss:0.0001, valid_loss:2.9865, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7072, f_average:0.7072
epoch:98, train_loss:0.0015, valid_loss:3.0344, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7118, f_average:0.7113
epoch:99, train_loss:0.0005, valid_loss:2.9703, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7095, f_average:0.7093
Metrics summary saved to: /data01/lyw/GLoMo/experiments/urfunny_only_fusion_seed5576/metrics.json
