Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/command.sh
total parameter for the model:  113169537
epoch:0, train_loss:0.6789, valid_loss:0.6617, test_acc:0.6529
current acc2:0.6529, f_weighted:0.6530, f_average:0.6529
Saved best model at epoch 0 by acc2=0.6529 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:1, train_loss:0.6278, valid_loss:0.6137, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7032, f_average:0.7032
Saved best model at epoch 1 by acc2=0.7032 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:2, train_loss:0.5541, valid_loss:0.6024, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7084, f_average:0.7082
Saved best model at epoch 2 by acc2=0.7082 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:3, train_loss:0.4924, valid_loss:0.6092, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7203, f_average:0.7203
Saved best model at epoch 3 by acc2=0.7203 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:4, train_loss:0.4331, valid_loss:0.6380, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7153, f_average:0.7153
epoch:5, train_loss:0.3830, valid_loss:0.6699, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7205, f_average:0.7203
epoch:6, train_loss:0.3493, valid_loss:0.6827, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7131, f_average:0.7113
epoch:7, train_loss:0.3043, valid_loss:0.7360, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7073, f_average:0.7072
epoch:8, train_loss:0.2539, valid_loss:0.7573, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7060, f_average:0.7032
epoch:9, train_loss:0.2240, valid_loss:0.8125, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7143, f_average:0.7143
epoch:10, train_loss:0.1960, valid_loss:0.8475, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7236, f_average:0.7233
Saved best model at epoch 10 by acc2=0.7233 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:11, train_loss:0.1733, valid_loss:0.9122, test_acc:0.7213
current acc2:0.7213, f_weighted:0.7218, f_average:0.7213
epoch:12, train_loss:0.1533, valid_loss:0.9502, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7120, f_average:0.7113
epoch:13, train_loss:0.1376, valid_loss:0.9631, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7177, f_average:0.7173
epoch:14, train_loss:0.1135, valid_loss:0.9694, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7214, f_average:0.7203
epoch:15, train_loss:0.1039, valid_loss:1.0549, test_acc:0.7163
current acc2:0.7163, f_weighted:0.7164, f_average:0.7163
epoch:16, train_loss:0.0937, valid_loss:1.0166, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7154, f_average:0.7153
epoch:17, train_loss:0.0793, valid_loss:1.1174, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7183, f_average:0.7173
epoch:18, train_loss:0.0705, valid_loss:1.1668, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7142, f_average:0.7133
epoch:19, train_loss:0.0657, valid_loss:1.1510, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7233, f_average:0.7223
epoch:20, train_loss:0.0597, valid_loss:1.2160, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7136, f_average:0.7133
epoch:21, train_loss:0.0594, valid_loss:1.1638, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7123, f_average:0.7123
epoch:22, train_loss:0.0631, valid_loss:1.1866, test_acc:0.7193
current acc2:0.7193, f_weighted:0.7198, f_average:0.7193
epoch:23, train_loss:0.0562, valid_loss:1.2319, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7200, f_average:0.7183
epoch:24, train_loss:0.0502, valid_loss:1.2972, test_acc:0.7223
current acc2:0.7223, f_weighted:0.7234, f_average:0.7223
epoch:25, train_loss:0.0438, valid_loss:1.2257, test_acc:0.7203
current acc2:0.7203, f_weighted:0.7205, f_average:0.7203
epoch:26, train_loss:0.0358, valid_loss:1.3072, test_acc:0.7254
current acc2:0.7254, f_weighted:0.7253, f_average:0.7254
Saved best model at epoch 26 by acc2=0.7254 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:27, train_loss:0.0384, valid_loss:1.2906, test_acc:0.7264
current acc2:0.7264, f_weighted:0.7265, f_average:0.7264
Saved best model at epoch 27 by acc2=0.7264 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:28, train_loss:0.0331, valid_loss:1.3068, test_acc:0.7264
current acc2:0.7264, f_weighted:0.7264, f_average:0.7264
epoch:29, train_loss:0.0307, valid_loss:1.4000, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7248, f_average:0.7243
epoch:30, train_loss:0.0282, valid_loss:1.3881, test_acc:0.7284
current acc2:0.7284, f_weighted:0.7284, f_average:0.7284
Saved best model at epoch 30 by acc2=0.7284 -> /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/best_model.pt
epoch:31, train_loss:0.0250, valid_loss:1.5036, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7078, f_average:0.7072
epoch:32, train_loss:0.0252, valid_loss:1.5359, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7105, f_average:0.7082
epoch:33, train_loss:0.0229, valid_loss:1.5158, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7144, f_average:0.7143
epoch:34, train_loss:0.0228, valid_loss:1.6378, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7125, f_average:0.7093
epoch:35, train_loss:0.0233, valid_loss:1.5812, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7091, f_average:0.7072
epoch:36, train_loss:0.0239, valid_loss:1.5581, test_acc:0.7243
current acc2:0.7243, f_weighted:0.7261, f_average:0.7243
epoch:37, train_loss:0.0214, valid_loss:1.5355, test_acc:0.7233
current acc2:0.7233, f_weighted:0.7234, f_average:0.7233
epoch:38, train_loss:0.0147, valid_loss:1.6585, test_acc:0.7153
current acc2:0.7153, f_weighted:0.7161, f_average:0.7153
epoch:39, train_loss:0.0172, valid_loss:1.6482, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7053, f_average:0.7052
epoch:40, train_loss:0.0152, valid_loss:1.6099, test_acc:0.7183
current acc2:0.7183, f_weighted:0.7183, f_average:0.7183
epoch:41, train_loss:0.0199, valid_loss:1.5182, test_acc:0.7173
current acc2:0.7173, f_weighted:0.7174, f_average:0.7173
epoch:42, train_loss:0.0155, valid_loss:1.6588, test_acc:0.7072
current acc2:0.7072, f_weighted:0.7100, f_average:0.7072
epoch:43, train_loss:0.0154, valid_loss:1.7204, test_acc:0.7032
current acc2:0.7032, f_weighted:0.7069, f_average:0.7032
epoch:44, train_loss:0.0113, valid_loss:1.7150, test_acc:0.6982
current acc2:0.6982, f_weighted:0.7005, f_average:0.6982
epoch:45, train_loss:0.0170, valid_loss:1.5143, test_acc:0.7133
current acc2:0.7133, f_weighted:0.7133, f_average:0.7133
epoch:46, train_loss:0.0123, valid_loss:1.6195, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7046, f_average:0.7042
epoch:47, train_loss:0.0080, valid_loss:1.6515, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7123, f_average:0.7123
epoch:48, train_loss:0.0081, valid_loss:1.8404, test_acc:0.6962
current acc2:0.6962, f_weighted:0.6973, f_average:0.6962
epoch:49, train_loss:0.0054, valid_loss:2.0051, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7061, f_average:0.7042
epoch:50, train_loss:0.0055, valid_loss:1.8488, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7022, f_average:0.7022
epoch:51, train_loss:0.0062, valid_loss:1.8013, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:52, train_loss:0.0032, valid_loss:2.2797, test_acc:0.7012
current acc2:0.7012, f_weighted:0.7029, f_average:0.7012
epoch:53, train_loss:0.0066, valid_loss:2.2387, test_acc:0.6932
current acc2:0.6932, f_weighted:0.7003, f_average:0.6932
epoch:54, train_loss:0.0060, valid_loss:2.0219, test_acc:0.6952
current acc2:0.6952, f_weighted:0.6956, f_average:0.6952
epoch:55, train_loss:0.0046, valid_loss:2.0669, test_acc:0.6901
current acc2:0.6901, f_weighted:0.6911, f_average:0.6901
epoch:56, train_loss:0.0049, valid_loss:2.1169, test_acc:0.6982
current acc2:0.6982, f_weighted:0.6983, f_average:0.6982
epoch:57, train_loss:0.0031, valid_loss:2.0797, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7062, f_average:0.7062
epoch:58, train_loss:0.0044, valid_loss:2.3804, test_acc:0.6911
current acc2:0.6911, f_weighted:0.6934, f_average:0.6911
epoch:59, train_loss:0.0065, valid_loss:2.2923, test_acc:0.6972
current acc2:0.6972, f_weighted:0.6976, f_average:0.6972
epoch:60, train_loss:0.0195, valid_loss:2.3557, test_acc:0.6911
current acc2:0.6911, f_weighted:0.7019, f_average:0.6911
epoch:61, train_loss:0.0044, valid_loss:2.1873, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7093, f_average:0.7082
epoch:62, train_loss:0.0024, valid_loss:2.2406, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7061, f_average:0.7042
epoch:63, train_loss:0.0036, valid_loss:2.1572, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7024, f_average:0.7022
epoch:64, train_loss:0.0039, valid_loss:2.0724, test_acc:0.6992
current acc2:0.6992, f_weighted:0.7001, f_average:0.6992
epoch:65, train_loss:0.0059, valid_loss:2.4055, test_acc:0.6942
current acc2:0.6942, f_weighted:0.7008, f_average:0.6942
epoch:66, train_loss:0.0049, valid_loss:2.3053, test_acc:0.6972
current acc2:0.6972, f_weighted:0.6997, f_average:0.6972
epoch:67, train_loss:0.0070, valid_loss:2.3978, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7078, f_average:0.7052
epoch:68, train_loss:0.0043, valid_loss:2.3410, test_acc:0.6942
current acc2:0.6942, f_weighted:0.6952, f_average:0.6942
